Authors;Author full names;Author(s) ID;Title;Year;Fuente;Source title;Volume;Issue;Art. No.;Page start;Page end;Page count;DOI;Cited by;Link;Affiliations;Abstract;Indexed Keywords;Author Keywords;Funding Details;Funding Texts;Publisher;ISSN;ISBN;Language of Original Document;Abbreviated Source Title;Document Type;Open Access;Source
"Suing A.; Ordóñez K.; Carpio L.";"Suing, Abel (56367183900); Ordóñez, Kruzkaya (56367954300); Carpio, Lilia (57191336452)";"56367183900; 56367954300; 57191336452";Does the interactivity and participation of the audience in the iberoamerican cyber-media advance?;2018;Scopus;Advances in Intelligent Systems and Computing;745;;;42;52;10;10.1007/978-3-319-77703-0_4;1;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045147623&doi=10.1007%2f978-3-319-77703-0_4&partnerID=40&md5=27f0bc1ad9e46ba63ba0bb8786e8ae5c;Departamento de Ciencias de la Comunicación, Universidad Técnica Particular de Loja, San Cayetano alto, Calle Marcelino Champagnat, 11-01-608, Loja, Ecuador;;"Image quality; Information systems; Cyber-media; Evaluation modeling; Iberoamerican; Information access; Interactivity; Participation; Semi structured interviews; Web 2.0; Information use";"Cyber-media; Interactivity; Participation; Quality; Web 2.0";;;Springer Verlag;21945357;978-331977702-3;English;Adv. Intell. Sys. Comput.;Conference paper;;Scopus
"Chicaiza J.; Piedra N.; Lopez-Vargas J.; Tovar-Caro E.";"Chicaiza, Janneth (56535509300); Piedra, Nelson (57197836159); Lopez-Vargas, Jorge (55757797100); Tovar-Caro, Edmundo (7006312550)";"56535509300; 57197836159; 55757797100; 7006312550";Domain categorization of open educational resources based on linked data;2014;Scopus;Communications in Computer and Information Science;468;;;15;28;13;10.1007/978-3-319-11716-4_2;20;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922041562&doi=10.1007%2f978-3-319-11716-4_2&partnerID=40&md5=e5191448a867230cdcb5a6bd96f5d3dd;"Departamento de Ciencias de la Computación, Universidad Técnica Particular de Loja, San Cayetano Alto S/N (Loja-Ecuador), 1101608, Ecuador; Dpto Lenguajes y Sistemas Informáticos e Ingeniería, Universidad Politécnica de Madrid, Spain";;"Classification (of information); Data handling; E-learning; Open Data; Semantics; Thesauri; Dbpedia; Discovery of resources; Formal knowledge; Heterogeneous Knowledge; Knowledge areas; Open educational resources; Semi-automatics; Web of datum; Linked data";"Classification; DBPedia; Discovery of resources; Knowledge area; Linked data; OCW; Thesaurus; Web of data";;;Springer Verlag;18650929;;English;Commun. Comput. Info. Sci.;Article;;Scopus
"Luis Fabian Moncada M.; Max Alejandro Arias M.; José Fernando Negrete Z.";"Luis Fabian Moncada, M. (57204390320); Max Alejandro Arias, M. (57204391638); José Fernando Negrete, Z. (57204397730)";"57204390320; 57204391638; 57204397730";Dropout, lag in the completion of studies, and graduation. Analysis of the evolution of a cohort of students enrolled in the Ecuadorian distance study system.;2018;Scopus;CEUR Workshop Proceedings;2231;;;;;;;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055414872&partnerID=40&md5=e70bb8988b3c6a050618308cecbfbb9f;Universidad Técnica Particular de Loja, C/Marcelino Champagnate, s/n, Loja, 110104, Ecuador;;"Disintegration; Regression analysis; Risk assessment; Academic Outcomes; Academic program; Career planning; Dropout; Graduation; Multinomial logistic regression; Multiple elements; Relative risks; Students";"Academic Outcomes; Dropout; Graduation; Multinomial Logistic Regression.";;;CEUR-WS;16130073;;Spanish;CEUR Workshop Proc.;Conference paper;;Scopus
"Morales L.F.G.; Valdiviezo-Diaz P.; Reátegui R.; Barba-Guaman L.";"Morales, Luis Fernando Granda (57807229700); Valdiviezo-Diaz, Priscila (36186316400); Reátegui, Ruth (57163508000); Barba-Guaman, Luis (57188564165)";"57807229700; 36186316400; 57163508000; 57188564165";Drug Recommendation System for Diabetes Using a Collaborative Filtering and Clustering Approach: Development and Performance Evaluation;2022;Scopus;Journal of Medical Internet Research;24;7;e37233;;;;10.2196/37233;4;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134290039&doi=10.2196%2f37233&partnerID=40&md5=6d559579ccca467898a49dc6b8232467;Departamento de Ciencias de la Computación y Electrónica, Universidad Técnica Particular de Loja, Loja, Ecuador;;;"chronic disease; clustering; collaborative filtering; data mining; diabetes; drug; machine learning; patient information; recommend; recommender system";;;JMIR Publications Inc.;14388871;;English;J. Med. Internet Res.;Article;"All Open Access; Gold Open Access; Green Open Access";Scopus
"Neusa Arenas G.; Alvear Reascos R.R.; Cabezas Heredia E.B.; Jiménez Rey J.F.";"Neusa Arenas, Guillermo (57212005995); Alvear Reascos, Rodrigo Roberto (57212009962); Cabezas Heredia, Edmundo Bolívar (57188554828); Jiménez Rey, Janeth Fernanda (57212006897)";"57212005995; 57212009962; 57188554828; 57212006897";"Dysergonomic risks: Postural biometrics of industrial plant workers in Ecuador; [Riesgos disergonómicos: Biometría postural de los trabajadores de plantas industriales en Ecuador]";2019;Scopus;Revista de Ciencias Sociales;25;1;;415;428;13;;3;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075651826&partnerID=40&md5=7bbe5d759adb247e2b017e37a28e9970;"Universidad Técnica del Norte UTN, Ecuador; Universidad Nacional de Chimborazo, Ecuador; Universidad Técnica Particular de Loja, Ecuador";;;"Anatomy; Anthropometry; Dysergonomics; Postures; Repetitiveness";;;Universidad del Zulia;13159518;;Spanish;Rev. Cienc. Soc.;Article;;Scopus
"Guerrero D.B.; Au M.; Gagnon G.; Gagnon F.; Giard P.";"Guerrero, Diego Barragan (56800596700); Au, Minh (56559662300); Gagnon, Ghyslain (21833761700); Gagnon, Francois (7004919623); Giard, Pascal (25929140000)";"56800596700; 56559662300; 21833761700; 7004919623; 25929140000";Early detection for optimal-latency communications in multi-hop links;2019;Scopus;Proceedings of the International Symposium on Wireless Communication Systems;2019-August;;8877294;389;394;5;10.1109/ISWCS.2019.8877294;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074634505&doi=10.1109%2fISWCS.2019.8877294&partnerID=40&md5=3498bb84b437bbcd57543c480f3f26ae;;;"Error probabilities; Finite blocklength regimes; Low-latency communication; Machine to machines; Reliable communication; Stringent requirement; Transmission rates; Wireless communications; Channel capacity";;;;VDE Verlag GmbH;21540217;978-172812527-5;English;Proc. Int. Symp. Wirel. Commun. Syst.;Conference paper;"All Open Access; Green Open Access";Scopus
"Aguirre Montano H.S.; Cabrera-Loayza M.C.";"Aguirre Montano, Hermel Santiago (57222705615); Cabrera-Loayza, Ma. Carmen (57192433415)";"57222705615; 57192433415";Early prediction of dropout in online courses using Artificial Neural Networks;2020;Scopus;Proceedings of the 15th Latin American Conference on Learning Technologies, LACLO 2020;;;9381190;;;;10.1109/LACLO50806.2020.9381190;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103740438&doi=10.1109%2fLACLO50806.2020.9381190&partnerID=40&md5=e107be70c4e8054d68f1c81bee25cde4;Universidad Tecnica Particular de Loja, Departament of Electronics and Computer Science, Loja, Ecuador;;"Computer aided instruction; Neural networks; Students; Teaching; Classroom education; Early prediction; Historical data; On-line education; Online course; Student performance; Technological advances; Virtual learning environments; E-learning";"artificial neural networks; dropout; early prediction; MOOC; online courses; tracking logs";;;Institute of Electrical and Electronics Engineers Inc.;;978-172819268-0;Spanish;Proc. Lat. Am. Conf. Learn. Technol., LACLO;Conference paper;;Scopus
"Marques I.; Draper D.; Riofrío L.; Naranjo C.";"Marques, Isabel (19337527300); Draper, David (7101843237); Riofrío, Lorena (56018847700); Naranjo, Carlos (57207597201)";"19337527300; 7101843237; 56018847700; 57207597201";Early Signs of the Effects of Forest Fragmentation on the Genetic Diversity and Structure of the Threatened Ecuadorian Tree Ocotea rotundata (Lauraceae);2022;Scopus;Forests;13;11;1940;;;;10.3390/f13111940;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148687152&doi=10.3390%2ff13111940&partnerID=40&md5=f47fc85b27509379f77e20d759697e67;;;;"deforestation; Ecuador; genetic diversity; inbreeding; neotropical forests; Ocotea";"CE3C, (UIDB/00239/2020); Scientific Employment Stimulus, (CEECIND/CP1689/CT0001); Fundação para a Ciência e a Tecnologia, FCT";;MDPI;19994907;;English;Forests;Article;"All Open Access; Gold Open Access; Green Open Access";Scopus
"Luna-Florin A.D.; Nole-Nole D.A.; Rodríguez-Caballero E.; Molina-Pardo J.L.; Giménez-Luque E.";"Luna-Florin, Alex Dumany (57886499600); Nole-Nole, Darío Alexander (57885567900); Rodríguez-Caballero, Emilio (36110144800); Molina-Pardo, José Luis (57191979254); Giménez-Luque, Esther (6507169088)";"57886499600; 57885567900; 36110144800; 57191979254; 6507169088";Ecological Characterization of the Flora in Reserva Ecológica Arenillas, Ecuador;2022;Scopus;Applied Sciences (Switzerland);12;17;8656;;;;10.3390/app12178656;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137810310&doi=10.3390%2fapp12178656&partnerID=40&md5=1f3dd5021a5ebcfe942dcaf9ecbfbe70;;;;"biodiversity; floristic composition; species diversity; tropical dry forest";;;MDPI;20763417;;English;Appl. Sci.;Article;"All Open Access; Gold Open Access; Green Open Access";Scopus
"Díaz Villavicencio G.; Didonet S.R.; Dodd A.";"Díaz Villavicencio, Guillermo (55377993000); Didonet, Simone Regina (55377844000); Dodd, Alexander (56494551700)";"55377993000; 55377844000; 56494551700";Ecological context in the measurement business of eco-efficiency;2013;Scopus;Espacios;34;12;19;;;;;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017663840&partnerID=40&md5=3f95a6050a0de3229ae5659c3cd8ed6d;;;;"DEA; Eco-DEA; Eco-efficiency; Sustainable Development";;;Revista Espacios;7981015;;English;Espacios;Article;;Scopus
"Díaz-Villavicencio G.; Dodd A.; Didonet S.R.; Zumba M.F.";"Díaz-Villavicencio, Guillermo (55377993000); Dodd, Alexander (56494551700); Didonet, Simone Regina (55377844000); Zumba, María Fernanda (57190672306)";"55377993000; 56494551700; 55377844000; 57190672306";Ecological models and business practices;2014;Scopus;Espacios;35;13;;;;1;;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921712190&partnerID=40&md5=e3345082b266ae1f42e07d973837c5c4;;;;"DEA; Eco-DEA; Eco-efficiency; Sustainable development";;;Revista Espacios;7981015;;English;Espacios;Article;;Scopus
"Ochoa-Jimenez D.; Moreno-Hurtado C.; Ochoa-Moreno W.-S.";"Ochoa-Jimenez, Diego (57004931100); Moreno-Hurtado, Carlos (57202523972); Ochoa-Moreno, Wilman-Santiago (57194453420)";"57004931100; 57202523972; 57194453420";"Economic growth and internet access in developing countries: The case of South America; [Crecimiento económico y el acceso a internet en países en vías de desarrollo: El caso de América del Sur]";2018;Scopus;Iberian Conference on Information Systems and Technologies, CISTI;2018-June;;;1;4;3;10.23919/CISTI.2018.8399465;6;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049914514&doi=10.23919%2fCISTI.2018.8399465&partnerID=40&md5=cb8874a334ed67e639a86094f1cd742e;Departamento de Economía, Universidad Técnica Particular de Loja, Loja, Ecuador;;"Developing countries; Information systems; Information use; Covariates; Data panel; Economic growths; Instrumental variables; Internet access; Panel data models; Positive correlations; South America; Economics";"Data panel; Economic growth; ICT; Internet access";;;IEEE Computer Society;21660727;978-989984348-6;Spanish;Iberian Conf. Inf. Syst. Technol., CISTI;Conference paper;;Scopus
"Mazón M.; Romero O.; Feest A.";"Mazón, Marina (57963409500); Romero, Oscar (57221687054); Feest, Alan (13605871500)";"57963409500; 57221687054; 13605871500";Ecosystem type might mask the effect of ecosystem recovery on parasitoids’ biodiversity quality;2023;Scopus;Biodiversity and Conservation;32;2;;509;522;13;10.1007/s10531-022-02509-3;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143983234&doi=10.1007%2fs10531-022-02509-3&partnerID=40&md5=be1dcb762bbd2db8968b6c43e72f0e7f;;;"Andes; Ecuador; biodiversity; biomass; diversity index; dry forest; ecosystem management; host-parasitoid interaction; nature reserve; rainforest; recovery plan; wasp";"Andean forests; Darwin wasps; Dry forests; Ichneumonidae; Rainforests";;;Springer Science and Business Media B.V.;9603115;;English;Biodiversity Conserv.;Article;"All Open Access; Hybrid Gold Open Access";Scopus
"Carpio-Jiménez L.; Suing A.; Puertas-Hidalgo R.";"Carpio-Jiménez, Lilia (57191336452); Suing, Abel (56367183900); Puertas-Hidalgo, Rosario (57018320400)";"57191336452; 56367183900; 57018320400";Ecuador and the Virtual High School Education in Pandemic Times;2022;Scopus;Smart Innovation, Systems and Technologies;256;;;301;309;8;10.1007/978-981-16-5063-5_25;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120533523&doi=10.1007%2f978-981-16-5063-5_25&partnerID=40&md5=38ca186c3423048accb19812809aa59a;Universidad Técnica Particular de Loja, Loja, Ecuador;;"Digital storage; E-learning; COVID-19; Digital platforms; Ecuador; Educational institutions; Health crisis; Higher School; Human activities; Methodological strategies; School education; Teachers'; Students";"COVID-19; Digital platforms; Education";;;Springer Science and Business Media Deutschland GmbH;21903018;978-981165062-8;English;Smart Innov. Syst. Technol.;Conference paper;;Scopus
"Alarcón S.; Ordóñez J.";"Alarcón, Silverio (36132812900); Ordóñez, Jessica (56996882400)";"36132812900; 56996882400";Ecuador: Retorno migratorio y emprendimiento en Loja;2015;Scopus;Cepal Review;2015;117;;69;86;17;;6;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949503826&partnerID=40&md5=b994ad775bf2e8f3d176139af1e145a4;"Departamento de Economía Agraria, Estadística y Gestión de Empresas, Universidad Politécnica de Madrid, Spain; Departamento de Economía, Universidad Técnica Particular de Loja, Ecuador";[No abstract available];;;"Encuesta Nacional de Empleo y Desempleo Urbano de Ecuador; Instituto Nacional de Estadísticas y Censos; Presidencia de la República del Ecuador; Fondo Nacional de Desarrollo Científico y Tecnológico, FONDECYT";;United Nations Publications;2512920;;Spanish;Cepal Rev.;Article;;Scopus
"Costa Ruiz M.P.; Armijos Buitrón V.A.; Loaiza Andrade F.S.; Aguirre Valdivieso G.I.";"Costa Ruiz, Mónica Patricia (57190668210); Armijos Buitrón, Verónica Alexandra (57190666663); Loaiza Andrade, Félix Santiago (57202945174); Aguirre Valdivieso, Gonzalo Iván (57193436509)";"57190668210; 57190666663; 57202945174; 57193436509";"Ecuadorian business investment in ICTs for strengthening business management. Period of analysis 2012-2015; [Inversión en TICS en las empresas del Ecuador para el fortalecimiento de la gestión empresarial Periodo de análisis 2012-2015]";2018;Scopus;Espacios;39;47;;;;12;;1;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056716195&partnerID=40&md5=fe5a4d8b0429a68b0cb36788353e2c8a;Departamento de Ciencias Empresariales, Universidad Técnica Particular de Loja, Ecuador;;;"Business management; Empresa; Gestión empresarial; ICTs business; Inversión; Investment; TICs";;;Revista Espacios;7981015;;Spanish;Espacios;Article;;Scopus
"Vargas J.M.; Rivera-Rogel D.; Carrion-Salinas G.";"Vargas, Jonathan Montero (57218387462); Rivera-Rogel, Diana (56003677900); Carrion-Salinas, Gianella (57191978078)";"57218387462; 56003677900; 57191978078";Ecuadorian educational youtubers A perspective from the educational vision;2020;Scopus;Iberian Conference on Information Systems and Technologies, CISTI;2020-June;;9141077;;;;10.23919/CISTI49556.2020.9141077;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089022923&doi=10.23919%2fCISTI49556.2020.9141077&partnerID=40&md5=8a7043539242a834e80283352e9413a4;"Universidad Técnica Particular de Loja, Loja, Ecuador; Universidad Técnica Particular de Loja, Departamento de Ciencias de la Comunicación, Loja, Ecuador";;"Information systems; Blade platform; Content analysis; Digital platforms; Educational process; ITS channels; Observation techniques; Teaching-learning process; YouTube; Information use";"education; interaction; Social Blade, youtubers; Youtube; Youtube; education; interaction; Social Blade; youtubers";;;IEEE Computer Society;21660727;978-989546590-3;Spanish;Iberian Conf. Inf. Syst. Technol., CISTI;Conference paper;;Scopus
"Rogel D.E.R.; Salinas G.A.C.";"Rogel, Diana Elizabeth Rivera (56003677900); Salinas, Gianella Alejandra Camon (57191978078)";"56003677900; 57191978078";"Ecuadorian media literacy in adolescents: Case study Loja and Zamora; [Competencias mediáticas en adolescents ecuatorianos: Casos de estudio Loja y Zamora]";2016;Scopus;Iberian Conference on Information Systems and Technologies, CISTI;2016-July;;7521630;;;;10.1109/CISTI.2016.7521630;1;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982104172&doi=10.1109%2fCISTI.2016.7521630&partnerID=40&md5=1ba2b6b4379205e8a3aec1ba1d54e72d;Departamento de Ciencias de la Comunicación, Universidad Técnica Particular de Loja, Loja, Ecuador;;"Education; Information systems; Personnel training; Teaching; educommunications; Information technology and communications; Mass media; media; media literacy; media skills; Teaching and learning; Young peoples; Information use";"education; educommunications; media; media literacy; media skills";;;IEEE Computer Society;21660727;978-989984346-2;Spanish;Iberian Conf. Inf. Syst. Technol., CISTI;Conference paper;;Scopus
"Chicaiza J.; Reategui R.";"Chicaiza, Janneth (56535509300); Reategui, Ruth (57163508000)";"56535509300; 57163508000";Ecuadorian scholarly production in computer science. Analysis of publication patterns by gender;2020;Scopus;CEUR Workshop Proceedings;2709;;;105;115;10;;1;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095442969&partnerID=40&md5=f3f851f3dffae81f83159b5ff1f30e7a;Computer Science Department, Universidad Tecnica Particular de Loja, Ecuador;;"Personnel; Productivity; Economic and social development; Ecuador; Gender differences; Human capitals; Information gap; Participation rate; Research productivity; Scholarly publishing; Publishing";"Ecuador; Gender analysis; Publishing patterns; Scholarly production; Scopus";"Secretaría Nacional de Educación Superior, Ciencia y Tecnología of Ecuador; Secretaría de Educación Superior, Ciencia, Tecnología e Innovación, SENESCYT";This work was partially supported by the scholarships provided by the Secretaría Nacional de Educación Superior, Ciencia y Tecnología of Ecuador (SENESCYT).;CEUR-WS;16130073;;English;CEUR Workshop Proc.;Conference paper;;Scopus
"Cabrera K.D.C.; Larrea M.I.P.";"Cabrera, Ketty Daniela Calva (57192873801); Larrea, María Isabel Punín (55787325700)";"57192873801; 55787325700";"Ecuadorian teachers communication: Presence and use of academic scientific networks; [Docentes ecuatorianos de comunicación: Presencia y uso de las redes científicas académicas]";2016;Scopus;Revista General de Informacion y Documentacion;26;2;;417;436;19;;1;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008452878&partnerID=40&md5=b3c1fe320efd11d64800ba7e780dddd0;"Universidad Nacional de Loja, Facultad de Comunicación, Ecuador; Universidad Técnica Particular de Loja, Departamento de Ciencias de la Comunicación, Ecuador";;;"Academic networks; Communication; Ecuadorian universities; Investigation; Social media";;;Universidad Complutense de Madrid;11321873;;Spanish;Rev. Gen. Inf. Doc.;Article;;Scopus
"Suing A.; Ortiz C.; Salazar G.";"Suing, Abel (56367183900); Ortiz, Carlos (55659817900); Salazar, Geovanna (56890847900)";"56367183900; 55659817900; 56890847900";"Ecuadorian television presence on YouTube; [Presencia de la televisión ecuatoriana en YouTube]";2017;Scopus;Iberian Conference on Information Systems and Technologies, CISTI;;;7976072;;;;10.23919/CISTI.2017.7976072;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027004744&doi=10.23919%2fCISTI.2017.7976072&partnerID=40&md5=3c65f5831587b7008db016d1217f20bb;Departamento de Comunicación, Grupo ECU-Digital, Universidad Técnica Particular de Loja, Loja, Ecuador;;;"Internet; Social Networks; Television; Television Consumption";"University of Huddersfield; Ministry of Higher Education, Malaysia, MOHE; Universiti Malaysia Sabah";;IEEE Computer Society;21660727;978-989984347-9;Spanish;Iberian Conf. Inf. Syst. Technol., CISTI;Conference paper;;Scopus
"Sanchez-Amboage E.; Mora-Jacome V.-L.; Ramirez-Coronel R.-L.; Martinez-Fernandez V.-A.";"Sanchez-Amboage, Eva (57188562311); Mora-Jacome, Veronica-Lucia (57192101225); Ramirez-Coronel, Ramiro-Leonardo (57195314250); Martinez-Fernandez, Valentin-Alejandro (6507394799)";"57188562311; 57192101225; 57195314250; 6507394799";"Ecuador's 'four worlds' restaurants: Coast Region, Highlands, Amazon Region and Galápagos Islands on TripAdvisor.com; [Restaurantes de los ""cuatro mundos"" de Ecuador: Costa, Sierra, Oriente y Galápagos en TripAdvisor.com]";2017;Scopus;Iberian Conference on Information Systems and Technologies, CISTI;;;7976018;;;;10.23919/CISTI.2017.7976018;2;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027239253&doi=10.23919%2fCISTI.2017.7976018&partnerID=40&md5=52ff5c6843545ef85b3cfe01516dc6e1;;;"Data mining; Information systems; Virtual reality; Ecuador; Four worlds; Galapagos Islands; Quantitative methodology; Restaurants; Tourism promotion; TripAdvisor.com; Virtual community; Social networking (online)";"Ecuador; Four worlds; Restaurants; TripAdvisor.com";;;IEEE Computer Society;21660727;978-989984347-9;Spanish;Iberian Conf. Inf. Syst. Technol., CISTI;Conference paper;;Scopus
"Torres-Carrión P.; Sarmiento-Guerrero C.; Torres-Diaz J.C.; Barba-Guamán L.";"Torres-Carrión, Pablo (56495447800); Sarmiento-Guerrero, Christian (57200381661); Torres-Diaz, Juan Carlos (56246776800); Barba-Guamán, Luis (57188564165)";"56495447800; 57200381661; 56246776800; 57188564165";Educational math game for stimulation of children with dyscalculia;2018;Scopus;Advances in Intelligent Systems and Computing;721;;;614;623;9;10.1007/978-3-319-73450-7_58;7;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041063348&doi=10.1007%2f978-3-319-73450-7_58&partnerID=40&md5=4c2858a254d18917d786c1b6fc137b1f;Computer Science Department, Universidad Técnica Particular de Loja, San Cayetano, Loja, 11 01 608, Ecuador;;"C++ (programming language); Dyscalculia; Educational game; Gamification; Inclusive education; Mathematics teachings; Education";"Dyscalculia; Educational games; Gamification; Inclusive education; Mathematics teaching";;;Springer Verlag;21945357;978-331973449-1;English;Adv. Intell. Sys. Comput.;Conference paper;;Scopus
"Rivera-Rogel D.; Cajamarca A.O.; Beltrán-Flandoli A.M.";"Rivera-Rogel, Diana (56003677900); Cajamarca, Anie Ocampo (57562231600); Beltrán-Flandoli, Ana María (57291825800)";"56003677900; 57562231600; 57291825800";"Educational TV experience in Ecuador in the framework of the pandemic; [Experiencia de TV educativa en Ecuador en el marco de la pandemia]";2022;Scopus;RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao;2022;E47;;265;276;11;;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127590504&partnerID=40&md5=1929e37e5f00728fb439a9fda8d3456e;Universidad Técnica Particular de Loja, Loja, 11-01-608, Ecuador;;;"Covid-19; educational resources; Educational TV; pandemic";;;Associacao Iberica de Sistemas e Tecnologias de Informacao;16469895;;Spanish;Rev. Iberica Sist. Tecnol. Inf.;Article;;Scopus
"Andrade-Martínez C.; Hernando Á.; Suing A.";"Andrade-Martínez, César (57221935643); Hernando, Ángel (57292284800); Suing, Abel (56367183900)";"57221935643; 57292284800; 56367183900";"Educommunication and media literacy to combat fake news in social networks; [Educomunicación y Alfabetización mediática para combatir las Fake news en redes sociales]";2021;Scopus;RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao;2021;E45;;573;584;11;;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128748990&partnerID=40&md5=7809313a34ae5f6b2fd86cf930c1b973;"Universidad Politécnica Salesiana, Guayaquil, 090114, Guayaquil, Ecuador; Universidad de Huelva, Huelva, 21004, Huelva, España; Universidad Técnica Particular de Loja, Loja, 110107, Loja, Ecuador.";;;"Educommunication; Fake news; Information and Knowledge Society; Media literacy; Social networks; Social networks";;;Associacao Iberica de Sistemas e Tecnologias de Informacao;16469895;;Spanish;Rev. Iberica Sist. Tecnol. Inf.;Article;;Scopus
"Vivanco O.; Castillo D.; Jimenez Y.";"Vivanco, Oscar (57197783938); Castillo, Darwin (26029726600); Jimenez, Yuliana (57197786646)";"57197783938; 26029726600; 57197786646";Effect of different visible light on rhizobacterial growth;2018;Scopus;Proceedings of SPIE - The International Society for Optical Engineering;10738;;107381J;;;;10.1117/12.2321353;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055794199&doi=10.1117%2f12.2321353&partnerID=40&md5=96cd73e83b1958277aca778c249f4745;;;"Bacteria; Density (optical); Density measurement (optical); Hybrid sensors; Light sources; Bacterial cells; Bacterial growth; Bacterial strains; Different lights; Effective wavelength; High intensity; Rhizobacteria; Visible light; Light";"optical density.; rhizobacteria; visible light";;;SPIE;0277786X;978-151062047-6;English;Proc SPIE Int Soc Opt Eng;Conference paper;;Scopus
"Alvarado R.; Ochoa-Jiménez D.; García-Tinisaray D.";"Alvarado, Rafael (57188831567); Ochoa-Jiménez, Diego (57004931100); García-Tinisaray, Daisy (57203040890)";"57188831567; 57004931100; 57203040890";Effect of exports and domestic demand on economic growth in Latin america: An analysis using the bulmer-thomas approach with panel data;2018;Scopus;Investigacion Operacional;39;2;;255;264;9;;3;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050345797&partnerID=40&md5=585cf02154252b2c8e50f18a8f496e92;"Escuela de Economía, Universidad Nacional de Loja, Ecuador; Departamento de Economía, Universidad Técnica Particular de Loja, Ecuador";;;"Economic growth; Exports; Internal demand; Latin America";;;Universidad de La Habana;2574306;;English;Invest. Oper.;Article;;Scopus
"Aguirre P.; Rodríguez A.S.; Gentina J.C.; Schippers A.";"Aguirre, Paulina (35228828400); Rodríguez, Aminael Sánchez (57195587126); Gentina, Juan Carlos (7004106285); Schippers, Axel (6701396771)";"35228828400; 57195587126; 7004106285; 6701396771";Effect of galactose on EPS production and attachment of acidithiobacillus thiooxidans to mineral surfaces;2017;Scopus;Solid State Phenomena;262 SSP;;;476;481;5;10.4028/www.scientific.net/SSP.262.476;3;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028974374&doi=10.4028%2fwww.scientific.net%2fSSP.262.476&partnerID=40&md5=29ea7d065b615ef312aa2201d122cffa;"Universidad Técnica Particular de Loja (UTPL), Loja, Ecuador; Pontificia Universidad Católica de Valparaíso (PUCV), Valparaíso, Chile; Federal Institute for Geosciences and Natural Resources (BGR), Hannover, Germany";;"Biofilms; Cell adhesion; Cells; Sulfur compounds; Acidithiobacillus thiooxidans; Attachment; Environmental conditions; Extracellular polymeric substances; Galactose; Induction mechanism; Mineral surfaces; Optimal concentration; Ores";"Acidithiobacillus thiooxidans; Attachment; Biofilm; EPS; Galactose; Mineral surface";;;Trans Tech Publications Ltd;10120394;978-303571180-6;English;Solid State Phenomena;Conference paper;;Scopus
"Torres R.; Enciso L.; Tomás J.G.";"Torres, Rommel (55038477500); Enciso, Liliana (55332768100); Tomás, Jesús García (23390984800)";"55038477500; 55332768100; 23390984800";"Effective evaluation of TCP in ad hoc wireless networks; [Evaluación efectiva de TCP en redes inalámbricas ad hoc]";2009;Scopus;Actas da 4a Conferencia Iberica de Sistemas e Tecnologias de Informacao, CISTI 2009;;;;723;729;6;;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923919318&partnerID=40&md5=ef0da1358f21f9275db3eeb491c04c7f;"Universidad Técnica Particular de Loja, Ecuador; Universidad Politécnica de Madrid, Spain";[No abstract available];;;;;Associacao Iberica de Sistemas e Tecnologias de Informacao;;978-989962471-9;English;Actas Conf. Iber. Sistemas Tecnol. Inf., CISTI;Conference paper;;Scopus
